program_id,geo_type,geo_value
cf9226e78f44,zip,33612
cf9226e78f44,zip,33613
cf9226e78f44,zip,33614
cf9226e78f44,zip,33615
cf9226e78f44,zip,33616
cf9226e78f44,zip,33617
cf9226e78f44,zip,33618
cf9226e78f44,zip,33619
cf9226e78f44,zip,33620
cf9226e78f44,zip,33621
cf9226e78f44,zip,33624
cf9226e78f44,zip,33625
cf9226e78f44,zip,33626
cf9226e78f44,zip,33629
cf9226e78f44,zip,33634
cf9226e78f44,zip,33635
cf9226e78f44,zip,33637
cf9226e78f44,zip,33647
cf9226e78f44,city,Tampa
e74235ca6e79,zip,33602
e74235ca6e79,zip,33603
e74235ca6e79,zip,33604
e74235ca6e79,zip,33605
e74235ca6e79,zip,33606
e74235ca6e79,zip,33607
e74235ca6e79,zip,33609
e74235ca6e79,zip,33610
e74235ca6e79,zip,33611
e74235ca6e79,zip,33612
e74235ca6e79,zip,33613
e74235ca6e79,zip,33614
e74235ca6e79,zip,33615
e74235ca6e79,zip,33616
e74235ca6e79,zip,33617
e74235ca6e79,zip,33618
e74235ca6e79,zip,33619
e74235ca6e79,zip,33620
e74235ca6e79,zip,33621
e74235ca6e79,zip,33624
e74235ca6e79,zip,33625
e74235ca6e79,zip,33626
e74235ca6e79,zip,33629
e74235ca6e79,zip,33634
e74235ca6e79,zip,33635
e74235ca6e79,zip,33637
e74235ca6e79,zip,33647
e74235ca6e79,city,Tampa
024d7cf6f0d1,zip,33602
024d7cf6f0d1,zip,33603
024d7cf6f0d1,zip,33604
024d7cf6f0d1,zip,33605
024d7cf6f0d1,zip,33606
024d7cf6f0d1,zip,33607
024d7cf6f0d1,zip,33609
024d7cf6f0d1,zip,33610
024d7cf6f0d1,zip,33611
024d7cf6f0d1,zip,33612
024d7cf6f0d1,zip,33613
024d7cf6f0d1,zip,33614
024d7cf6f0d1,zip,33615
024d7cf6f0d1,zip,33616
024d7cf6f0d1,zip,33617
024d7cf6f0d1,zip,33618
024d7cf6f0d1,zip,33619
024d7cf6f0d1,zip,33620
024d7cf6f0d1,zip,33621
024d7cf6f0d1,zip,33624
024d7cf6f0d1,zip,33625
024d7cf6f0d1,zip,33626
024d7cf6f0d1,zip,33629
024d7cf6f0d1,zip,33634
024d7cf6f0d1,zip,33635
024d7cf6f0d1,zip,33637
024d7cf6f0d1,zip,33647
024d7cf6f0d1,city,Tampa
8475a1083c0b,state,Florida
27069a723602,state,Florida
e970bbee3771,state,Florida
fdf690721973,state,Florida
69c5bbb15a26,state,Florida
71693b8a254f,state,Florida
f5246e114b62,state,Florida
d79af4a7b2f4,state,Florida
87b3dfc9db57,state,Florida
b40fdd14e340,zip,33508
b40fdd14e340,zip,33509
b40fdd14e340,zip,33510
b40fdd14e340,zip,33511
b40fdd14e340,zip,33527
b40fdd14e340,zip,33530
b40fdd14e340,zip,33534
b40fdd14e340,zip,33547
b40fdd14e340,zip,33548
b40fdd14e340,zip,33549
b40fdd14e340,zip,33550
b40fdd14e340,zip,33556
b40fdd14e340,zip,33558
b40fdd14e340,zip,33559
b40fdd14e340,zip,33563
b40fdd14e340,zip,33564
b40fdd14e340,zip,33565
b40fdd14e340,zip,33566
b40fdd14e340,zip,33567
b40fdd14e340,zip,33569
b40fdd14e340,zip,33570
b40fdd14e340,zip,33572
b40fdd14e340,zip,33573
b40fdd14e340,zip,33578
b40fdd14e340,zip,33579
b40fdd14e340,zip,33584
b40fdd14e340,zip,33586
b40fdd14e340,zip,33592
b40fdd14e340,zip,33594
b40fdd14e340,zip,33596
b40fdd14e340,zip,33598
b40fdd14e340,zip,33602
b40fdd14e340,zip,33603
b40fdd14e340,zip,33604
b40fdd14e340,zip,33605
b40fdd14e340,zip,33606
b40fdd14e340,zip,33607
b40fdd14e340,zip,33609
b40fdd14e340,zip,33610
b40fdd14e340,zip,33611
b40fdd14e340,zip,33612
b40fdd14e340,zip,33613
b40fdd14e340,zip,33614
b40fdd14e340,zip,33615
b40fdd14e340,zip,33616
b40fdd14e340,zip,33617
b40fdd14e340,zip,33618
b40fdd14e340,zip,33619
b40fdd14e340,zip,33620
b40fdd14e340,zip,33621
b40fdd14e340,zip,33624
b40fdd14e340,zip,33625
b40fdd14e340,zip,33626
b40fdd14e340,zip,33629
b40fdd14e340,zip,33634
b40fdd14e340,zip,33635
b40fdd14e340,zip,33637
b40fdd14e340,zip,33647
b40fdd14e340,county,Hillsborough
a1c3c8ddcd8f,zip,33508
a1c3c8ddcd8f,zip,33509
a1c3c8ddcd8f,zip,33510
a1c3c8ddcd8f,zip,33511
a1c3c8ddcd8f,zip,33527
a1c3c8ddcd8f,zip,33530
a1c3c8ddcd8f,zip,33534
a1c3c8ddcd8f,zip,33547
a1c3c8ddcd8f,zip,33548
a1c3c8ddcd8f,zip,33549
a1c3c8ddcd8f,zip,33550
a1c3c8ddcd8f,zip,33556
a1c3c8ddcd8f,zip,33558
a1c3c8ddcd8f,zip,33559
a1c3c8ddcd8f,zip,33563
a1c3c8ddcd8f,zip,33564
a1c3c8ddcd8f,zip,33565
a1c3c8ddcd8f,zip,33566
a1c3c8ddcd8f,zip,33567
a1c3c8ddcd8f,zip,33569
a1c3c8ddcd8f,zip,33570
a1c3c8ddcd8f,zip,33572
a1c3c8ddcd8f,zip,33573
a1c3c8ddcd8f,zip,33578
a1c3c8ddcd8f,zip,33579
a1c3c8ddcd8f,zip,33584
a1c3c8ddcd8f,zip,33586
a1c3c8ddcd8f,zip,33592
a1c3c8ddcd8f,zip,33594
a1c3c8ddcd8f,zip,33596
a1c3c8ddcd8f,zip,33598
a1c3c8ddcd8f,zip,33602
a1c3c8ddcd8f,zip,33603
